マンション名,都,区,区域,間取り,間取りDK,間取りK,間取りL,間取りS,築年数,建物高さ,階,専有面積,賃料+管理費,敷/礼,路線1,駅1,徒歩1,賃料,管理費,敷金,礼金
ＪＲ総武線浅草橋駅12階建築18年,東京都,千代田区,東神田３,1,0,0,0,0,18,12,4,22,95000,180000,ＪＲ総武線,浅草橋駅,3,90000,5000,90000,90000
東京メトロ銀座線神田駅12階建築18年,東京都,千代田区,神田司町２,1,0,0,0,0,18,12,2,23,98000,267000,東京メトロ銀座線,神田駅,3,89000,9000,89000,178000
東京メトロ東西線九段下駅13階建築16年,東京都,千代田区,九段南２,1,1,0,1,0,16,13,9,45,220000,420000,東京メトロ東西線,九段下駅,7,210000,10000,210000,210000
エステムプラザ丸の内NORTHRISE,東京都,千代田区,内神田１,1,0,0,0,0,16,12,4,22,99000,84000,ＪＲ山手線,神田駅,7,84000,15000,0,84000
リベア東神田,東京都,千代田区,東神田３,1,1,0,0,0,15,11,10,40,147000,137000,ＪＲ総武線,浅草橋駅,2,137000,10000,0,137000
東京メトロ日比谷線小伝馬町駅12階建築21年,東京都,千代田区,岩本町１,1,0,0,0,0,21,12,6,22,91000,39000,東京メトロ日比谷線,小伝馬町駅,3,78000,13000,0,39000
東京パークタワー,東京都,千代田区,神田神保町１,1,1,0,1,0,21,29,10,39,210000,600000,東京メトロ半蔵門線,神保町駅,1,200000,10000,400000,200000
アルティオドマーニ,東京都,千代田区,内神田３,1,0,0,0,0,3,14,8,32,149500,141000,ＪＲ山手線,神田駅,3,141000,8500,0,141000
スプリーム九段,東京都,千代田区,九段北１,1,1,0,0,0,25,8,4,32,129000,119000,東京メトロ半蔵門線,九段下駅,3,119000,10000,119000,0
プラネスーペリア四番町,東京都,千代田区,四番町,1,1,0,1,0,5,12,8,42,255000,480000,東京メトロ有楽町線,市ケ谷駅,7,240000,15000,240000,240000
タウンコート富士見,東京都,千代田区,富士見１,1,0,0,0,0,18,6,3,23,105000,200000,ＪＲ総武線,飯田橋駅,4,100000,5000,100000,100000
麹町二番町マンション,東京都,千代田区,二番町,1,0,0,0,0,15,10,7,31,146000,276000,東京メトロ有楽町線,麹町駅,3,138000,8000,138000,138000
都営三田線神保町駅12階建築19年,東京都,千代田区,神田小川町３,1,1,0,0,0,19,12,10,40,197000,0,都営三田線,神保町駅,3,187000,10000,0,0
ガラ・ステージ神田,東京都,千代田区,神田須田町１,1,0,0,0,0,18,13,8,22,103000,282000,ＪＲ山手線,神田駅,5,94000,9000,94000,188000
ガラステーション岩本町ノース,東京都,千代田区,岩本町３,1,0,0,0,0,18,12,6,22,98000,178000,ＪＲ山手線,秋葉原駅,5,89000,9000,89000,89000
パークウェル秋葉原,東京都,千代田区,岩本町３,1,0,0,0,0,17,12,12,22,89000,178000,東京メトロ日比谷線,秋葉原駅,3,89000,0,89000,89000
東京メトロ半蔵門線大手町駅13階建築5年,東京都,千代田区,神田錦町２,1,1,0,1,0,5,13,3,39,203000,396000,東京メトロ半蔵門線,大手町駅,6,198000,5000,198000,198000
ＪＲ総武線四ツ谷駅地下2地上8階建築17年,東京都,千代田区,麹町６,1,0,0,0,0,17,8,7,26,120000,240000,ＪＲ総武線,四ツ谷駅,3,120000,0,120000,120000
ＪＲ山手線神田駅13階建築18年,東京都,千代田区,神田紺屋町,1,0,0,0,0,18,13,11,22,90000,160000,ＪＲ山手線,神田駅,5,80000,10000,80000,80000
グレース東神田,東京都,千代田区,東神田２,1,0,0,0,0,21,10,5,28,101000,190000,ＪＲ山手線,秋葉原駅,7,95000,6000,95000,95000
都営新宿線小川町駅5階建築21年,東京都,千代田区,神田須田町１,1,0,0,0,0,21,5,3,27,103200,99000,都営新宿線,小川町駅,1,99000,4200,99000,0
クレール千代田岩本町,東京都,千代田区,岩本町２,1,0,0,0,0,11,11,11,30,119000,110000,都営新宿線,岩本町駅,5,110000,9000,0,110000
パークアクシス秋葉原,東京都,千代田区,神田佐久間町３,1,0,0,0,0,17,9,2,24,115000,214000,都営新宿線,岩本町駅,8,107000,8000,107000,107000
ロアール御茶ノ水妻恋坂,東京都,千代田区,外神田６,1,0,0,0,0,21,12,8,23,87000,78000,ＪＲ中央線,御茶ノ水駅,9,78000,9000,0,78000
ＪＲ山手線秋葉原駅12階建築4年,東京都,千代田区,東神田３,1,1,0,1,0,4,12,3,30,135000,125000,ＪＲ山手線,秋葉原駅,8,125000,10000,0,125000
シャルム内神田,東京都,千代田区,内神田２,1,0,0,0,0,22,10,6,41,151000,274000,ＪＲ山手線,神田駅,3,137000,14000,137000,137000
イン　スタイル　スクエア,東京都,千代田区,岩本町２,1,0,0,0,0,17,14,8,24,103000,103000,都営新宿線,岩本町駅,2,103000,0,103000,0
一番町レジデンス,東京都,千代田区,一番町,1,0,0,0,0,6,12,3,25,136000,248000,東京メトロ半蔵門線,半蔵門駅,2,124000,12000,124000,124000
スカイコート神田壱番館,東京都,千代田区,神田須田町１,1,0,0,0,0,21,9,9,23,102000,187800,ＪＲ山手線,秋葉原駅,5,93900,8100,93900,93900
アクティア神田岩本町,東京都,千代田区,岩本町２,1,0,0,0,0,20,12,2,22,88000,160000,東京メトロ銀座線,神田駅,5,80000,8000,80000,80000
ＪＲ山手線神田駅12階建築6年,東京都,千代田区,神田司町２,2,0,0,0,0,6,12,12,33,156000,292000,ＪＲ山手線,神田駅,7,146000,10000,146000,146000
Ｇｏｏｄｗａｙ　Ｆｕｊｉｍｉ,東京都,千代田区,富士見１,1,0,0,0,0,20,9,6,35,169000,159000,ＪＲ中央線,飯田橋駅,4,159000,10000,0,159000
分譲賃貸マンション　神田淡路町二丁目　床暖房、食洗器有り,東京都,千代田区,神田淡路町２,2,1,0,1,0,10,41,38,77,460000,1320000,東京メトロ千代田線,新御茶ノ水駅,4,440000,20000,440000,880000
TKR神田多町,東京都,千代田区,神田多町２,1,0,0,0,0,21,8,7,23,97000,87000,ＪＲ山手線,神田駅,4,87000,10000,87000,0
XEBEC大手町,東京都,千代田区,神田錦町１,1,0,0,0,0,6,13,6,25,122000,113000,東京メトロ半蔵門線,大手町駅,5,113000,9000,113000,0
ドルチェ・リクエスト水道橋,東京都,千代田区,神田猿楽町２,1,0,0,0,0,21,10,3,25,94000,86000,ＪＲ中央線,水道橋駅,4,86000,8000,86000,0
グンショウ二番町ビル,東京都,千代田区,二番町,1,1,0,1,0,39,6,3,40,180000,360000,東京メトロ有楽町線,麹町駅,3,180000,0,180000,180000
メインステージ東神田,東京都,千代田区,東神田１,1,0,0,0,0,20,12,4,18,82000,150000,ＪＲ総武線快速,馬喰町駅,3,75000,7000,75000,75000
ＪＲ山手線秋葉原駅13階建築19年,東京都,千代田区,岩本町３,1,0,0,0,0,19,13,4,26,106000,188000,ＪＲ山手線,秋葉原駅,8,94000,12000,94000,94000
ガラステーション岩本町サウス,東京都,千代田区,岩本町３,1,0,0,0,0,18,15,4,26,104000,190000,ＪＲ山手線,秋葉原駅,5,95000,9000,95000,95000
マストライフ神田錦町,東京都,千代田区,神田錦町２,1,0,0,0,0,5,13,9,25,127880,238000,東京メトロ千代田線,大手町駅,6,119000,8880,119000,119000
都営新宿線岩本町駅13階建築18年,東京都,千代田区,神田東松下町,1,0,0,0,0,18,13,7,20,90000,88000,都営新宿線,岩本町駅,2,88000,2000,0,88000
ザ・パークワンズ神田,東京都,千代田区,神田西福田町,1,0,0,0,0,5,12,4,28,145000,270000,ＪＲ山手線,神田駅,5,135000,10000,135000,135000
スカイコート秋葉原,東京都,千代田区,外神田５,1,0,0,0,0,19,12,3,22,100000,200000,東京メトロ銀座線,末広町駅,2,100000,0,100000,100000
千代田レジデンス,東京都,千代田区,岩本町３,1,0,0,0,0,19,5,3,21,88000,80000,都営新宿線,岩本町駅,5,80000,8000,80000,0
ＪＲ総武線飯田橋駅13階建築7年,東京都,千代田区,九段北１,1,0,0,0,0,7,13,4,32,164000,154000,ＪＲ総武線,飯田橋駅,6,154000,10000,154000,0
ＪＲ中央線御茶ノ水駅14階建築3年,東京都,千代田区,神田神保町１,1,1,0,1,0,3,14,6,42,201000,382000,ＪＲ中央線,御茶ノ水駅,10,191000,10000,191000,191000
クレシェンド秋葉原,東京都,千代田区,岩本町３,1,0,0,0,0,5,5,1,16,88000,168000,ＪＲ山手線,秋葉原駅,5,84000,4000,84000,84000
都営新宿線小川町駅13階建築6年,東京都,千代田区,神田美土代町,1,0,0,0,0,6,13,2,25,135000,250000,都営新宿線,小川町駅,4,125000,10000,125000,125000
ＪＲ山手線神田駅11階建築20年,東京都,千代田区,内神田３,1,0,0,0,0,20,11,10,23,103000,98000,ＪＲ山手線,神田駅,2,98000,5000,98000,0
ＱＵＡＬＩＴＡＳ秋葉原,東京都,千代田区,神田佐久間町４,1,0,0,0,0,0,16,5,25,135000,0,ＪＲ山手線,秋葉原駅,6,120000,15000,0,0
デュオ・スカーラ御茶ノ水II,東京都,千代田区,神田淡路町１,1,0,0,0,0,20,8,6,23,98000,184000,東京メトロ千代田線,新御茶ノ水駅,1,92000,6000,92000,92000
ＪＲ山手線秋葉原駅11階建築20年,東京都,千代田区,岩本町３,1,0,0,0,0,20,11,10,22,85500,75000,ＪＲ山手線,秋葉原駅,6,75000,10500,0,75000
ＪＲ総武線浅草橋駅12階建築20年,東京都,千代田区,東神田１,1,0,0,0,0,20,12,4,18,82000,150000,ＪＲ総武線,浅草橋駅,5,75000,7000,75000,75000
ラペルラ岩本町,東京都,千代田区,岩本町２,1,1,0,1,0,3,9,7,36,165000,300000,ＪＲ山手線,神田駅,8,150000,15000,150000,150000
サンパークマンション千代田,東京都,千代田区,飯田橋２,1,1,0,1,0,41,11,8,36,168000,320000,東京メトロ東西線,飯田橋駅,2,160000,8000,160000,160000
都営三田線神保町駅10階建築21年,東京都,千代田区,神田錦町３,1,0,0,0,0,21,10,1,22,89000,85000,都営三田線,神保町駅,5,85000,4000,0,85000
アーバイル九段下ミッドシティ,東京都,千代田区,神田三崎町３,1,0,0,0,0,18,9,2,22,122500,112000,都営新宿線,九段下駅,5,112000,10500,0,112000
シュロス神田五軒町ツインフォルム,東京都,千代田区,外神田６,1,0,0,0,0,24,11,5,25,103000,206000,東京メトロ銀座線,末広町駅,3,103000,0,103000,103000
オリオ九段下,東京都,千代田区,神田神保町３,1,0,0,0,0,26,12,3,22,89000,158000,東京メトロ半蔵門線,九段下駅,2,79000,10000,79000,79000
都営三田線神保町駅12階建築22年,東京都,千代田区,一ツ橋２,1,0,0,0,0,22,12,6,30,119000,228000,都営三田線,神保町駅,2,114000,5000,114000,114000
一ツ橋フォレスター,東京都,千代田区,一ツ橋２,1,0,0,0,0,22,12,6,30,119000,228000,都営三田線,神保町駅,2,114000,5000,114000,114000
パレステュディオ麹町,東京都,千代田区,鍛冶町１,1,0,0,0,0,19,13,4,22,136500,126000,東京メトロ半蔵門線,半蔵門駅,2,126000,10500,0,126000
サンテミリオン神田東,東京都,千代田区,神田東松下町,1,0,0,0,0,18,13,7,20,90000,88000,都営新宿線,岩本町駅,2,88000,2000,0,88000
東京メトロ半蔵門線九段下駅11階建築22年,東京都,千代田区,西神田３,1,0,0,0,0,22,11,2,22,95000,88000,東京メトロ半蔵門線,九段下駅,3,88000,7000,88000,0
エクセリア九段,東京都,千代田区,西神田３,1,0,0,0,0,22,11,2,22,95000,88000,東京メトロ東西線,九段下駅,3,88000,7000,88000,0
サンテミリオン九段,東京都,千代田区,九段南３,1,0,0,0,0,23,9,2,22,95000,133500,東京メトロ有楽町線,市ケ谷駅,7,89000,6000,44500,89000
ボヌールお茶の水（ボヌールオチャノミズ）,東京都,千代田区,外神田２,1,0,0,0,0,4,6,2,25,114000,109000,ＪＲ総武線,御茶ノ水駅,6,109000,5000,0,109000
東京メトロ銀座線末広町駅12階建築19年,東京都,千代田区,外神田５,1,0,0,0,0,19,12,3,22,100000,200000,東京メトロ銀座線,末広町駅,2,100000,0,100000,100000
ＪＲ山手線秋葉原駅15階建築18年,東京都,千代田区,岩本町３,1,0,0,0,0,18,15,11,26,104000,288000,ＪＲ山手線,秋葉原駅,6,96000,8000,96000,192000
麹町パーソナルハウス,東京都,千代田区,麹町２,1,1,0,1,0,42,5,4,42,170000,850000,東京メトロ半蔵門線,半蔵門駅,2,170000,0,680000,170000
東京メトロ東西線九段下駅14階建築17年,東京都,千代田区,九段北１,1,0,0,0,0,17,14,2,25,110000,100000,東京メトロ東西線,九段下駅,1,100000,10000,100000,0
東京メトロ丸ノ内線淡路町駅13階建築17年,東京都,千代田区,神田須田町１,1,0,0,0,0,17,13,11,29,128000,384000,東京メトロ丸ノ内線,淡路町駅,1,128000,0,256000,128000
ブライズ神田,東京都,千代田区,神田多町２,1,0,0,0,0,19,13,3,22,93000,174000,東京メトロ銀座線,神田駅,2,87000,6000,87000,87000
ＪＲ山手線秋葉原駅12階建築18年,東京都,千代田区,東神田１,1,0,0,0,0,18,12,8,23,89000,0,ＪＲ山手線,秋葉原駅,9,79000,10000,0,0
ＬＯＭＢＡＲＤ－ＣＯＵＲＴ神田,東京都,千代田区,岩本町３,1,0,0,0,0,8,11,2,24,98000,184000,都営新宿線,岩本町駅,6,92000,6000,92000,92000
ピアース千代田淡路町,東京都,千代田区,神田美土代町,1,0,0,0,0,6,13,2,25,135000,250000,東京メトロ丸ノ内線,淡路町駅,2,125000,10000,125000,125000
ザ・パークハウス千代田麹町,東京都,千代田区,麹町６,1,1,0,1,0,6,17,4,50,298000,566000,東京メトロ有楽町線,麹町駅,8,283000,15000,283000,283000
東京メトロ有楽町線麹町駅地下1地上17階建築6年,東京都,千代田区,麹町６,1,1,0,1,0,6,17,4,50,298000,566000,東京メトロ有楽町線,麹町駅,8,283000,15000,283000,283000
アーバンキューブ九段南,東京都,千代田区,九段南３,1,0,0,0,0,15,12,4,29,150000,280000,都営新宿線,市ケ谷駅,7,140000,10000,140000,140000
トーアホワイトハイツ,東京都,千代田区,飯田橋２,2,1,0,0,0,40,8,4,43,160000,640000,ＪＲ中央線,飯田橋駅,8,160000,0,320000,320000
ヴェネトKAJIMA,東京都,千代田区,神田須田町１,1,0,0,0,0,21,5,3,20,89200,85000,東京メトロ丸ノ内線,淡路町駅,2,85000,4200,85000,0
ＪＲ中央線市ケ谷駅9階建築20年,東京都,千代田区,九段南３,1,0,0,0,0,20,9,7,32,149500,270000,ＪＲ中央線,市ケ谷駅,9,135000,14500,135000,135000
アクサス大手町ラクシーズ,東京都,千代田区,神田錦町１,1,0,0,0,0,16,14,2,31,132000,0,ＪＲ山手線,神田駅,9,124000,8000,0,0
東京メトロ半蔵門線神保町駅13階建築19年,東京都,千代田区,神田神保町２,1,0,0,0,0,19,13,4,30,136000,121000,東京メトロ半蔵門線,神保町駅,1,121000,15000,121000,0
東京メトロ東西線竹橋駅9階建築8年,東京都,千代田区,神田錦町２,1,0,0,0,0,8,9,9,25,125000,240000,東京メトロ東西線,竹橋駅,6,120000,5000,120000,120000
シャルマン新光松富町,東京都,千代田区,外神田４,1,0,0,0,0,3,5,3,28,160000,308000,東京メトロ銀座線,末広町駅,2,154000,6000,154000,154000
PROUDFLAT外神田　【プラウドフラット外神田】,東京都,千代田区,外神田２,1,0,0,0,0,8,11,3,25,139000,262000,ＪＲ山手線,秋葉原駅,7,131000,8000,131000,131000
メトロフロント神田,東京都,千代田区,神田須田町１,1,0,0,0,0,17,13,11,29,128000,384000,東京メトロ丸ノ内線,淡路町駅,1,128000,0,256000,128000
レジディア御茶ノ水III,東京都,千代田区,外神田２,1,0,0,0,0,7,10,7,25,138000,256000,ＪＲ山手線,秋葉原駅,7,128000,10000,128000,128000
ＪＲ中央線御茶ノ水駅12階建築10年,東京都,千代田区,神田神保町１,1,1,0,1,0,10,12,11,32,160000,320000,ＪＲ中央線,御茶ノ水駅,9,160000,0,160000,160000
ＪＲ総武線市ケ谷駅9階建築18年,東京都,千代田区,三番町,1,0,0,0,0,18,9,5,30,142000,270000,ＪＲ総武線,市ケ谷駅,7,135000,7000,135000,135000
都営新宿線岩本町駅9階建築21年,東京都,千代田区,岩本町２,1,0,0,0,0,21,9,9,22,86000,0,都営新宿線,岩本町駅,3,74000,12000,0,0
グランドメゾン一番町,東京都,千代田区,一番町,1,1,0,1,0,1,9,6,44,198000,340000,東京メトロ半蔵門線,半蔵門駅,1,170000,28000,170000,170000
麹町三丁目ハウス(コウジマチサンチョウメハウス),東京都,千代田区,麹町３,1,0,0,0,0,50,5,5,29,101000,96000,東京メトロ有楽町線,麹町駅,2,96000,5000,96000,0
プレール神田佐久間町,東京都,千代田区,神田佐久間町４,1,0,0,0,0,22,12,4,20,99500,89000,ＪＲ山手線,秋葉原駅,6,89000,10500,0,89000
プレール九段,東京都,千代田区,九段北１,1,0,0,0,0,23,10,3,22,90000,88000,東京メトロ東西線,九段下駅,2,88000,2000,88000,0
ＪＲ中央線飯田橋駅7階建築44年,東京都,千代田区,富士見２,1,1,0,1,0,44,7,1,44,160000,160000,ＪＲ中央線,飯田橋駅,2,160000,0,160000,0
ロジェ二番町,東京都,千代田区,二番町,1,0,0,0,0,18,10,4,43,158000,474000,東京メトロ有楽町線,麹町駅,2,158000,0,316000,158000
東京メトロ半蔵門線半蔵門駅5階建築22年,東京都,千代田区,平河町２,1,1,0,1,0,22,5,2,39,180000,172000,東京メトロ半蔵門線,半蔵門駅,5,172000,8000,172000,0
OLIO東神田　【オリオ東神田】,東京都,千代田区,東神田３,1,0,0,0,0,21,13,10,25,95000,190000,ＪＲ山手線,秋葉原駅,7,95000,0,95000,95000
エスコート神田岩本町,東京都,千代田区,岩本町３,1,0,0,0,0,19,12,2,22,87000,158000,都営新宿線,岩本町駅,1,79000,8000,79000,79000
東京メトロ丸ノ内線大手町駅12階建築16年,東京都,千代田区,内神田１,1,0,0,0,0,16,12,4,22,99000,84000,東京メトロ丸ノ内線,大手町駅,7,84000,15000,0,84000
ilusaイルサ,東京都,千代田区,神田小川町３,1,0,0,0,0,21,6,3,47,201000,374000,都営三田線,神保町駅,4,187000,14000,374000,0
東京メトロ有楽町線麹町駅8階建築46年,東京都,千代田区,平河町１,1,1,0,0,0,46,8,4,24,100000,194000,東京メトロ有楽町線,麹町駅,3,97000,3000,97000,97000
東京メトロ半蔵門線半蔵門駅9階建築18年,東京都,千代田区,麹町１,1,0,0,0,0,18,9,2,32,148000,276000,東京メトロ半蔵門線,半蔵門駅,1,138000,10000,138000,138000
ＪＲ山手線秋葉原駅14階建築17年,東京都,千代田区,岩本町２,1,0,0,0,0,17,14,7,27,105000,240000,ＪＲ山手線,秋葉原駅,7,96000,9000,96000,144000
ＪＲ中央線飯田橋駅3階建築32年,東京都,千代田区,富士見１,1,0,0,0,0,32,3,3,22,89000,178000,ＪＲ中央線,飯田橋駅,5,89000,0,89000,89000
ストリングス富士見ビル,東京都,千代田区,富士見１,1,0,0,0,0,32,3,3,22,89000,178000,ＪＲ中央線,飯田橋駅,5,89000,0,89000,89000
千代田タワーアネックス,東京都,千代田区,岩本町３,1,0,0,0,0,20,11,10,22,85500,75000,ＪＲ山手線,秋葉原駅,6,75000,10500,0,75000
タワーコート秋葉原,東京都,千代田区,岩本町３,1,0,0,0,0,19,11,10,23,95000,190000,都営新宿線,岩本町駅,3,95000,0,95000,95000
東京メトロ東西線九段下駅7階建築45年,東京都,千代田区,飯田橋１,1,1,0,0,0,45,7,7,43,180000,540000,東京メトロ東西線,九段下駅,3,180000,0,360000,180000
パークサイド九段,東京都,千代田区,神田神保町２,1,0,0,0,0,22,11,10,22,98000,196000,東京メトロ半蔵門線,神保町駅,1,98000,0,98000,98000
ＪＲ中央線御茶ノ水駅13階建築7年,東京都,千代田区,神田猿楽町１,1,1,0,0,0,7,13,3,24,128000,236000,ＪＲ中央線,御茶ノ水駅,8,118000,10000,118000,118000
ラ・トゥール千代田,東京都,千代田区,西神田３,1,0,0,0,0,20,32,21,43,260000,520000,都営三田線,神保町駅,6,260000,0,520000,0
ＪＲ山手線秋葉原駅13階建築2年,東京都,千代田区,東神田１,1,1,0,1,1,2,13,4,47,231000,0,ＪＲ山手線,秋葉原駅,9,221000,10000,0,0
都営新宿線市ケ谷駅9階建築42年,東京都,千代田区,九段北４,1,0,0,0,0,42,9,3,31,119000,238000,都営新宿線,市ケ谷駅,3,119000,0,119000,119000
メゾン・ド・ヴィレ神田神保町,東京都,千代田区,神田神保町２,1,0,0,0,0,23,9,5,27,102000,0,東京メトロ半蔵門線,神保町駅,1,88000,14000,0,0
東京メトロ半蔵門線半蔵門駅6階建築42年,東京都,千代田区,一番町,1,0,0,0,0,42,6,3,24,88000,176000,東京メトロ半蔵門線,半蔵門駅,4,88000,0,88000,88000
東京メトロ南北線市ケ谷駅10階建築20年,東京都,千代田区,九段南２,1,0,0,0,0,20,10,5,23,100000,170000,東京メトロ南北線,市ケ谷駅,7,85000,15000,85000,85000
ＪＲ山手線秋葉原駅10階建築21年,東京都,千代田区,東神田２,1,0,0,0,0,21,10,2,28,99000,93000,ＪＲ山手線,秋葉原駅,7,93000,6000,93000,0
ビラカーサ五番町,東京都,千代田区,五番町,1,0,0,0,0,41,12,5,44,158000,148000,ＪＲ総武線,市ケ谷駅,3,148000,10000,148000,0
カーサフジマ,東京都,千代田区,九段北４,1,0,0,0,0,42,9,3,31,119000,238000,都営新宿線,市ケ谷駅,3,119000,0,119000,119000
誠心IIビル,東京都,千代田区,東神田１,1,0,0,0,0,33,7,2,19,75000,144000,ＪＲ総武線快速,馬喰町駅,3,72000,3000,72000,72000
パレステュディオ三番町2,東京都,千代田区,三番町,1,0,0,0,0,20,10,5,23,131500,121000,ＪＲ総武線,市ケ谷駅,7,121000,10500,0,121000
ルームスキノカ,東京都,千代田区,岩本町２,1,0,0,0,0,11,13,10,25,110880,204000,ＪＲ山手線,神田駅,8,102000,8880,102000,102000
ＪＲ山手線秋葉原駅地下1地上12階建築19年,東京都,千代田区,岩本町３,1,0,0,0,0,19,12,3,22,92000,178000,ＪＲ山手線,秋葉原駅,4,89000,3000,89000,89000
ＪＲ山手線秋葉原駅11階建築22年,東京都,千代田区,東神田２,1,0,0,0,0,22,11,2,23,91500,85500,ＪＲ山手線,秋葉原駅,7,85500,6000,0,85500
VIDA#017,東京都,千代田区,東神田２,1,0,0,0,0,22,11,2,23,91500,85500,ＪＲ山手線,秋葉原駅,7,85500,6000,0,85500
高梨ビル,東京都,千代田区,神田司町２,1,0,0,0,0,44,5,2,23,79000,74000,東京メトロ丸ノ内線,淡路町駅,3,74000,5000,74000,0
ダイアパレス飯田橋,東京都,千代田区,飯田橋４,1,0,0,0,0,40,8,6,23,74000,138000,ＪＲ中央線,飯田橋駅,2,69000,5000,69000,69000
ＪＲ山手線秋葉原駅12階建築18年,東京都,千代田区,東神田２,1,0,0,0,0,18,12,6,22,94000,87000,ＪＲ山手線,秋葉原駅,8,87000,7000,0,87000
CLASSICO9DAN,東京都,千代田区,九段北１,1,0,0,0,0,55,5,5,25,99000,92000,東京メトロ東西線,九段下駅,4,92000,7000,92000,0
メゾン千代田,東京都,千代田区,神田神保町３,1,0,0,0,0,42,10,6,16,75000,138000,東京メトロ半蔵門線,九段下駅,3,69000,6000,69000,69000
ＪＲ山手線神田駅16階建新築,東京都,千代田区,内神田１,1,0,0,0,0,0,16,3,28,150000,280000,ＪＲ山手線,神田駅,8,140000,10000,140000,140000
東京メトロ有楽町線麹町駅5階建築50年,東京都,千代田区,麹町３,1,0,0,0,0,50,5,5,29,101000,96000,東京メトロ有楽町線,麹町駅,1,96000,5000,96000,0
ライオンズマンション平河町Ｋ,東京都,千代田区,平河町１,1,0,0,0,0,44,8,4,16,70000,130000,東京メトロ半蔵門線,半蔵門駅,2,65000,5000,65000,65000
東京メトロ半蔵門線半蔵門駅9階建築41年,東京都,千代田区,平河町１,1,0,0,0,0,41,9,8,19,82000,164000,東京メトロ半蔵門線,半蔵門駅,3,82000,0,82000,82000
東京メトロ半蔵門線半蔵門駅15階建築5年,東京都,千代田区,一番町,3,1,0,1,0,5,15,14,151,1100000,2200000,東京メトロ半蔵門線,半蔵門駅,3,1100000,0,1100000,1100000
都営新宿線市ケ谷駅7階建築41年,東京都,千代田区,九段南４,1,0,0,0,0,41,7,4,33,110000,200000,都営新宿線,市ケ谷駅,2,100000,10000,100000,100000
九段シルバーパレス,東京都,千代田区,九段南４,1,0,0,0,0,38,10,6,23,101000,188000,ＪＲ中央線,市ケ谷駅,7,94000,7000,94000,94000
SYFORMEKANDA,東京都,千代田区,神田富山町,1,0,0,0,1,11,9,7,31,125000,117000,ＪＲ山手線,神田駅,4,117000,8000,0,117000
岩本町酒井マンション,東京都,千代田区,岩本町２,1,0,0,0,0,45,5,5,15,73000,136000,都営新宿線,岩本町駅,3,68000,5000,68000,68000
パステルコート神田岩本町,東京都,千代田区,岩本町２,1,0,0,0,0,38,11,6,23,96000,0,ＪＲ山手線,秋葉原駅,9,88000,8000,0,0
宮島ビル,東京都,千代田区,飯田橋１,1,0,0,0,0,39,6,4,14,73000,146000,東京メトロ東西線,飯田橋駅,5,73000,0,73000,73000
東京ロイヤルプラザ,東京都,千代田区,内神田１,1,0,0,0,0,44,11,6,17,85000,80000,ＪＲ中央線,神田駅,5,80000,5000,80000,0
ＪＲ総武線浅草橋駅11階建築42年,東京都,千代田区,東神田１,1,0,0,0,0,42,11,4,21,69000,128000,ＪＲ総武線,浅草橋駅,6,64000,5000,64000,64000
ＪＲ山手線秋葉原駅4階建築24年,東京都,千代田区,神田和泉町,3,1,0,1,1,24,4,3,93,400000,1200000,ＪＲ山手線,秋葉原駅,4,400000,0,800000,400000
第３メゾンサカイ,東京都,千代田区,富士見１,1,0,0,0,0,30,4,3,24,100000,200000,ＪＲ中央線,飯田橋駅,7,100000,0,100000,100000
フォレシティ神田多町,東京都,千代田区,神田多町２,1,0,0,0,0,16,12,9,33,142000,132000,ＪＲ中央線,御茶ノ水駅,9,132000,10000,0,132000
XEBECOTEMACHI　【ジーベック大手町】,東京都,千代田区,神田錦町１,1,0,0,0,0,6,13,6,26,122000,113000,ＪＲ山手線,神田駅,9,113000,9000,113000,0
９eｔａｇｅ,東京都,千代田区,九段南３,1,0,0,0,0,20,9,7,32,149500,270000,ＪＲ中央線,市ケ谷駅,9,135000,14500,135000,135000
コトー駿河台,東京都,千代田区,神田駿河台１,1,0,0,0,0,48,9,6,15,75000,0,ＪＲ中央線,御茶ノ水駅,6,75000,0,0,0
ＪＲ総武線快速馬喰町駅13階建築8年,東京都,千代田区,東神田１,1,0,0,0,0,8,13,6,30,139000,131000,ＪＲ総武線快速,馬喰町駅,3,131000,8000,131000,0
ザ・サンメゾン二番町エルド,東京都,千代田区,二番町,3,1,0,1,0,8,11,2,85,465000,930000,東京メトロ有楽町線,麹町駅,3,465000,0,465000,465000
東京メトロ日比谷線小伝馬町駅8階建築24年,東京都,千代田区,岩本町１,3,1,0,1,0,24,8,7,90,278300,542600,東京メトロ日比谷線,小伝馬町駅,4,271300,7000,271300,271300
プレール東神田,東京都,千代田区,東神田２,1,0,0,0,0,22,11,3,22,90000,80000,ＪＲ山手線,秋葉原駅,9,80000,10000,0,80000
ＪＲ山手線秋葉原駅11階建築11年,東京都,千代田区,岩本町２,1,0,0,0,0,11,11,11,30,119000,110000,ＪＲ山手線,秋葉原駅,10,110000,9000,0,110000
ＪＲ山手線秋葉原駅14階建築15年,東京都,千代田区,岩本町２,1,0,0,0,0,15,14,2,25,109000,89000,ＪＲ山手線,秋葉原駅,10,89000,20000,0,89000
グランドメゾン九段,東京都,千代田区,九段北１,1,0,0,0,0,40,11,4,23,90880,160000,東京メトロ東西線,九段下駅,1,80000,10880,80000,80000
ロイジェント東神田,東京都,千代田区,外神田１,2,1,0,1,0,5,13,12,70,345000,666000,都営新宿線,岩本町駅,5,333000,12000,333000,333000
